ActiveHand;AppliedEffectMode;BaselineSd;BaselineValue;BlockType;ConfiguredEffectMode;ConfirmMitigationMode;Email;ExperimentMode;Framecount;Magnitude;MetricName;MetricUnits;NormalizedMagnitude;Notes;PostSd;PostValue;SessionID;SignedDelta;StudyGlobalParticipantId;StudyInputMode;StudyParticipantIndex;StudyResolvedEffect;StudyResolvedTask;StudySessionIndex;StudyTaskOrder;SummaryType;TaskMode;Timestamp;TrackingMode;TrialCount;XRBackend
Right;None;NULL;NULL;Baseline;Skew;OppositeHandTrigger;anonymous;Participant;4340;NULL;SignedEndpointError;cm;NULL;Mean signed horizontal endpoint error;6.7981;-11.5776;bbc19c7c-faf4-49e1-8e95-131c65804a95;NULL;3;Controller;2;Skew;OpenLoop;4;OpenLoopFirst;BlockMetric;OpenLoop;2026-05-21 09:52:47.5706;Controllers;10;OpenXR
Right;None;NULL;NULL;Post;Skew;OppositeHandTrigger;anonymous;Participant;24227;NULL;SignedEndpointError;cm;NULL;Mean signed horizontal endpoint error;4.1710;-18.3981;bbc19c7c-faf4-49e1-8e95-131c65804a95;NULL;3;Controller;2;Skew;OpenLoop;4;OpenLoopFirst;BlockMetric;OpenLoop;2026-05-21 09:55:34.8089;Controllers;10;OpenXR
Right;None;6.7981;-11.5776;Post;Skew;OppositeHandTrigger;anonymous;Participant;24227;6.8205;SignedEndpointError;cm;1.0033;Post minus baseline horizontal endpoint error;4.1710;-18.3981;bbc19c7c-faf4-49e1-8e95-131c65804a95;-6.8205;3;Controller;2;Skew;OpenLoop;4;OpenLoopFirst;Aftereffect;OpenLoop;2026-05-21 09:55:34.8104;Controllers;10;OpenXR
