ActiveHand;AppliedEffectMode;BaselineSd;BaselineValue;BlockType;ConfiguredEffectMode;ConfirmMitigationMode;Email;ExperimentMode;Framecount;Magnitude;MetricName;MetricUnits;NormalizedMagnitude;Notes;PostSd;PostValue;SessionID;SignedDelta;StudyGlobalParticipantId;StudyInputMode;StudyParticipantIndex;StudyResolvedEffect;StudyResolvedTask;StudySessionIndex;StudyTaskOrder;SummaryType;TaskMode;Timestamp;TrackingMode;TrialCount;XRBackend
Right;None;NULL;NULL;Baseline;Rotation;OppositeHandTrigger;anonymous;Participant;4345;NULL;BisectionError;cm;NULL;Mean signed line bisection error;7.8610;-0.4739;b529d3a4-b51a-4eec-b995-f74e31f7f71d;NULL;6;Embodied;3;Rotation;LineBisection;2;LineBisectionFirst;BlockMetric;LineBisection;2026-05-21 13:21:32.4846;Hands;10;OpenXR
Right;None;NULL;NULL;Post;Rotation;OppositeHandTrigger;anonymous;Participant;17120;NULL;BisectionError;cm;NULL;Mean signed line bisection error;9.7443;-37.7454;b529d3a4-b51a-4eec-b995-f74e31f7f71d;NULL;6;Embodied;3;Rotation;LineBisection;2;LineBisectionFirst;BlockMetric;LineBisection;2026-05-21 13:23:19.9949;Hands;10;OpenXR
Right;None;7.8610;-0.4739;Post;Rotation;OppositeHandTrigger;anonymous;Participant;17120;37.2715;BisectionError;cm;4.7413;Post minus baseline bisection error;9.7443;-37.7454;b529d3a4-b51a-4eec-b995-f74e31f7f71d;-37.2715;6;Embodied;3;Rotation;LineBisection;2;LineBisectionFirst;Aftereffect;LineBisection;2026-05-21 13:23:19.9974;Hands;10;OpenXR
