ActiveHand;AppliedEffectMode;BaselineSd;BaselineValue;BlockType;ConfiguredEffectMode;ConfirmMitigationMode;Email;ExperimentMode;Framecount;Magnitude;MetricName;MetricUnits;NormalizedMagnitude;Notes;PostSd;PostValue;SessionID;SignedDelta;StudyGlobalParticipantId;StudyInputMode;StudyParticipantIndex;StudyResolvedEffect;StudyResolvedTask;StudySessionIndex;StudyTaskOrder;SummaryType;TaskMode;Timestamp;TrackingMode;TrialCount;XRBackend
Right;None;NULL;NULL;Baseline;None;OppositeHandTrigger;anonymous;Participant;14118;NULL;BisectionError;cm;NULL;Mean signed line bisection error;5.8552;8.7970;080f1ce7-d696-417a-a6b8-72d8618a70d0;NULL;6;Embodied;3;None;LineBisection;1;LineBisectionFirst;BlockMetric;LineBisection;2026-05-21 13:17:50.4015;Hands;10;OpenXR
Right;None;NULL;NULL;Post;None;OppositeHandTrigger;anonymous;Participant;34290;NULL;BisectionError;cm;NULL;Mean signed line bisection error;7.3728;6.8090;080f1ce7-d696-417a-a6b8-72d8618a70d0;NULL;6;Embodied;3;None;LineBisection;1;LineBisectionFirst;BlockMetric;LineBisection;2026-05-21 13:20:39.9814;Hands;10;OpenXR
Right;None;5.8552;8.7970;Post;None;OppositeHandTrigger;anonymous;Participant;34290;1.9879;BisectionError;cm;0.3395;Post minus baseline bisection error;7.3728;6.8090;080f1ce7-d696-417a-a6b8-72d8618a70d0;-1.9879;6;Embodied;3;None;LineBisection;1;LineBisectionFirst;Aftereffect;LineBisection;2026-05-21 13:20:39.9834;Hands;10;OpenXR
