ActiveHand;AppliedEffectMode;BaselineSd;BaselineValue;BlockType;ConfiguredEffectMode;ConfirmMitigationMode;Email;ExperimentMode;Framecount;Magnitude;MetricName;MetricUnits;NormalizedMagnitude;Notes;PostSd;PostValue;SessionID;SignedDelta;StudyGlobalParticipantId;StudyInputMode;StudyParticipantIndex;StudyResolvedEffect;StudyResolvedTask;StudySessionIndex;StudyTaskOrder;SummaryType;TaskMode;Timestamp;TrackingMode;TrialCount;XRBackend
Right;None;NULL;NULL;Baseline;Rotation;OppositeHandTrigger;anonymous;Participant;2995;NULL;SignedEndpointError;cm;NULL;Mean signed horizontal endpoint error;8.2589;-20.8558;fda65a7e-d871-48d0-82fe-45428d652edc;NULL;2;Embodied;1;Rotation;OpenLoop;6;LineBisectionFirst;BlockMetric;OpenLoop;2026-05-20 13:34:31.8026;Hands;10;OpenXR
Right;None;NULL;NULL;Post;Rotation;OppositeHandTrigger;anonymous;Participant;11067;NULL;SignedEndpointError;cm;NULL;Mean signed horizontal endpoint error;6.9514;-17.4654;fda65a7e-d871-48d0-82fe-45428d652edc;NULL;2;Embodied;1;Rotation;OpenLoop;6;LineBisectionFirst;BlockMetric;OpenLoop;2026-05-20 13:35:39.7251;Hands;10;OpenXR
Right;None;8.2589;-20.8558;Post;Rotation;OppositeHandTrigger;anonymous;Participant;11067;3.3904;SignedEndpointError;cm;0.4105;Post minus baseline horizontal endpoint error;6.9514;-17.4654;fda65a7e-d871-48d0-82fe-45428d652edc;3.3904;2;Embodied;1;Rotation;OpenLoop;6;LineBisectionFirst;Aftereffect;OpenLoop;2026-05-20 13:35:39.7266;Hands;10;OpenXR
